('None', 'Custom', 'COX', 'MI -> DBT -> RFE -> MR -> COX', 'C-Index', 'Quality Metric: ', 0.8104945379851234)

('None', 'Custom', 'COX', 'MI -> DBT -> UC -> MUO -> COX', 'C-Index', 'Quality Metric: ', 0.5908880129840018)

('None', 'Custom', 'COX', 'MI -> DBT -> UC -> MR -> COX', 'C-Index', 'Quality Metric: ', 0.6051476766985154)

('None', 'Custom', 'COX', 'MI -> ED -> IG -> MUO -> COX', 'C-Index', 'Quality Metric: ', 0.7464061719487151)

('None', 'Custom', 'COX', 'MI -> ED -> IG -> MR -> COX', 'C-Index', 'Quality Metric: ', 0.7779324278819172)

('None', 'Custom', 'COX', 'MI -> ED -> LASSO -> MUO -> COX', 'C-Index', 'Quality Metric: ', 0.7852425352425353)

('None', 'Custom', 'COX', 'MI -> ED -> LASSO -> MR -> COX', 'C-Index', 'Quality Metric: ', 0.823504321472668)

('None', 'Custom', 'COX', 'MI -> ED -> RFE -> MUO -> COX', 'C-Index', 'Quality Metric: ', 0.7906121656121656)

('None', 'Custom', 'COX', 'MI -> ED -> RFE -> MR -> COX', 'C-Index', 'Quality Metric: ', 0.8329891121337973)

('None', 'Custom', 'COX', 'MI -> ED -> UC -> MUO -> COX', 'C-Index', 'Quality Metric: ', 0.5437467047756472)

('None', 'Custom', 'COX', 'MI -> ED -> UC -> MR -> COX', 'C-Index', 'Quality Metric: ', 0.601335727915591)

('None', 'Custom', 'COX', 'MI -> DBID -> IG -> MUO -> COX', 'C-Index', 'Quality Metric: ', 0.755939295085455)

('None', 'Custom', 'COX', 'MI -> DBID -> IG -> MR -> COX', 'C-Index', 'Quality Metric: ', 0.7915706383959438)

('None', 'Custom', 'COX', 'MI -> DBID -> LASSO -> MUO -> COX', 'C-Index', 'Quality Metric: ', 0.8112612133460979)

('None', 'Custom', 'COX', 'MI -> DBID -> LASSO -> MR -> COX', 'C-Index', 'Quality Metric: ', 0.8361949758008758)

('None', 'Custom', 'COX', 'MI -> DBID -> RFE -> MUO -> COX', 'C-Index', 'Quality Metric: ', 0.8216020708485515)

